,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS,125-150 BPS,150-175 BPS,175-200 BPS
2021-11-02,0.9892778669084846,0.010722133091515373,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-14,1.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.9752136230468751,0.024786376953124967,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.8449952697754171,0.15500473022458294,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.6899986485072519,0.3100013514927481,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,0.4428362165178571,0.5571637834821429,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,0.0,0.7138577974759615,0.28614220252403855,0.0,0.0,0.0,0.0,0.0
2022-09-20,0.0,0.0,0.1400146484375,0.8599853515625,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.1724036907327373,0.8275963092672627,0.0,0.0,0.0,0.0
2022-12-13,0.0,0.0,0.33231060321514416,0.6676893967848558,0.0,0.0,0.0,0.0
